Cars_name,Cars_url,Cars_price,Cars_Brand,Cars_Model,Cars_YOM,Cars_Mileage,Cars_Transmission,Cars_Fuel_Type,Cars_Engine_capacity
Honda Fit Shuttle Gp7 2016 Car,https://riyasewana.com/buy/honda-fit-shuttle-sale-chilaw-2840941,5300000,Honda,Fit Shuttle GP7,2016,107000,Automatic,Hybrid,1500
Honda Fit Gp1 2013 Car,https://riyasewana.com/buy/honda-fit-gp1-sale-ambalangoda-2840253,3950000,Honda,FIT GP1,2013,85000,Automatic,Hybrid,1330
Honda Fit Gp5 2015 Car,https://riyasewana.com/buy/honda-fit-gp5-sale-polonnaruwa-2838614,4750000,Honda,FIT GP5,2015,100000,Automatic,Hybrid,1500
Honda Fit Gp5 2014 Car,https://riyasewana.com/buy/honda-fit-gp5-sale-kegalle-2838072,4225000,Honda,FIT GP5,2014,82000,Automatic,Hybrid,1500
Honda Fit Gp1 2012 Car,https://riyasewana.com/buy/honda-fit-gp1-sale-matara-2836935,3725000,Honda,Fit Gp1,2012,74000,Automatic,Hybrid,1300
Honda Fit Gp5 S Grade 2014 Car,https://riyasewana.com/buy/honda-fit-gp5-sale-galle-2834955,4700000,Honda,Fit GP5 S GRADE,2014,123000,Automatic,Petrol,1500
Honda Fit Gp1 2011 Car,https://riyasewana.com/buy/honda-fit-gp1-sale-colombo-2834383,3685000,Honda,Fit GP1,2011,98000,Automatic,Hybrid,1300
Honda Fit Gp1 Navi Premium 2010 Car,https://riyasewana.com/buy/honda-fit-gp1-sale-katunayake-2833746,3495000,Honda,FIt GP1 Navi Premium,2010,100000,Automatic,Hybrid,1330
Honda Fit Shuttle 2012 Car,https://riyasewana.com/buy/honda-fit-shuttle-sale-ja-ela-2831003,3790000,Honda,Fit Shuttle,2012,100000,Automatic,Hybrid,1330
Honda Fit Gp1 2012 Car,https://riyasewana.com/buy/honda-fit-gp1-sale-kandy-2830544,3695000,Honda,FIT GP1,2012,97000,Automatic,Petrol,1500
Honda Fit Gp5 L Grade 2013 Car,https://riyasewana.com/buy/honda-fit-gp5-sale-kegalle-2830451,4290000,Honda,Fit Gp5 L Grade,2013,126000,Automatic,Petrol,1500
Honda Fit Gp5 2014 Car,https://riyasewana.com/buy/honda-fit-gp5-sale-colombo-2830173,4400000,Honda,Fit GP5,2014,85000,Automatic,Petrol,1490
Honda Fit Gp5 S Limited 2015 Car,https://riyasewana.com/buy/honda-fit-gp5-sale-mawanella-2830046,4975000,Honda,Fit Gp5 S Limited,2015,92000,Automatic,Hybrid,1500
Honda Fit Gp5 2013 Car,https://riyasewana.com/buy/honda-fit-gp5-sale-kurunegala-2829954,4290000,Honda,Fit GP5,2013,83000,Automatic,Hybrid,1500
Honda Fit Gp5 2014 Car,https://riyasewana.com/buy/honda-fit-gp5-sale-ragama-2829175,4525000,Honda,FIT GP5,2014,124000,Automatic,Petrol,1500
Honda Fit Gp1 2012 Car,https://riyasewana.com/buy/honda-fit-gp1-sale-homagama-2826975,3675000,Honda,Fit GP1,2012,106000,Automatic,Petrol,1500
Honda Fit Gp5 2014 Car,https://riyasewana.com/buy/honda-fit-gp5-sale-colombo-2826896,4200000,Honda,Fit GP5,2014,99000,Automatic,Hybrid,1600
Honda Fit Gp1 2012 Car,https://riyasewana.com/buy/honda-fit-gp1-sale-kaduwela-2826790,3575000,Honda,FIT GP1,2012,95000,Automatic,Hybrid,1300
Honda Fit 2010 Car,https://riyasewana.com/buy/honda-fit-sale-negombo-2826604,3450000,Honda,Fit,2010,95000,Automatic,Hybrid,1300
Honda Fit Gp5 2015 Car,https://riyasewana.com/buy/honda-fit-gp5-sale-katunayake-2825904,4425000,Honda,Fit Gp5,2015,85000,Automatic,Hybrid,1500
Honda Fit Gp1 2013 Car,https://riyasewana.com/buy/honda-fit-gp1-sale-gampaha-2824971,3550000,Honda,FIT GP1,2013,106000,Automatic,Petrol,1330
Honda Fit Shuttle Gp7 2015 Car,https://riyasewana.com/buy/honda-fit-shuttle-sale-colombo-2824755,6400000,Honda,Fit Shuttle GP7,2015,34000,Automatic,Hybrid,1500
Honda Fit Shuttle Gp 2 2012 Car,https://riyasewana.com/buy/honda-fit-shuttle-sale-negombo-2824005,3990000,Honda,Fit Shuttle GP 2,2012,123000,Automatic,Hybrid,1500
Honda Fit Gp5 2014 Car,https://riyasewana.com/buy/honda-fit-gp5-sale-panadura-2824004,4475000,Honda,Fit GP5,2014,75000,Automatic,Petrol,1500
Honda Fit Gp5 L 2014 Car,https://riyasewana.com/buy/honda-fit-gp5-sale-kegalle-2823966,4420000,Honda,Fit GP5 L,2014,71200,Automatic,Petrol,1500
Honda Fit Shuttle 2014 Car,https://riyasewana.com/buy/honda-fit-shuttle-sale-galle-2822354,4475000,Honda,FIT SHUTTLE,2014,92000,Automatic,Petrol,1330
Honda Fit Gp5 S 2014 Car,https://riyasewana.com/buy/honda-fit-gp5-sale-matara-2822320,4725000,Honda,Fit GP5 S,2014,89000,Automatic,Hybrid,1500
Honda Fit Gp5 2013 Car,https://riyasewana.com/buy/honda-fit-gp5-sale-kurunegala-2820704,4375000,Honda,FIT GP5,2013,73645,Automatic,Hybrid,1500
Honda Fit Gp1 2011 Car,https://riyasewana.com/buy/honda-fit-gp1-sale-kalutara-2820640,3600000,Honda,Fit GP1,2011,128000,Automatic,Petrol,1330
Honda Fit Shuttle Gp7 2015 Car,https://riyasewana.com/buy/honda-fit-shuttle-sale-beruwala-2819815,5850000,Honda,Fit Shuttle GP7,2015,107221,Automatic,Hybrid,1490
Honda Fit Gp4 Rs 2013 Car,https://riyasewana.com/buy/honda-fit-gp4-sale-gampaha-2816932,4400000,Honda,Fit GP4 RS,2013,150000,Automatic,Hybrid,1500
Honda Fit Gp1 2012 Car,https://riyasewana.com/buy/honda-fit-gp1-sale-boralesgamuwa-2816426,3990000,Honda,Fit GP1,2012,71200,Automatic,Hybrid,1330
Honda Fit Gp1 2012 Car,https://riyasewana.com/buy/honda-fit-gp1-sale-gampaha-2814272,3675000,Honda,FIT GP1,2012,85000,Automatic,Hybrid,1330
Honda Fit Gp5 2013 Car,https://riyasewana.com/buy/honda-fit-gp5-sale-pannipitiya-2813638,4300000,Honda,Fit GP5,2013,85000,Automatic,Hybrid,1500
Honda Fit Shuttle 2012 Car,https://riyasewana.com/buy/honda-fit-shuttle-sale-kalutara-2812158,4300000,Honda,FIT Shuttle,2012,18000,Automatic,Hybrid,1300
Honda Fit Shuttle 2013 Car,https://riyasewana.com/buy/honda-fit-shuttle-sale-mawanella-2810560,4150000,Honda,Fit Shuttle,2013,50000,Automatic,Hybrid,1330
Honda Fit Gp1 2012 Car,https://riyasewana.com/buy/honda-fit-gp1-sale-colombo-2810434,3875000,Honda,FIT GP1,2012,75000,Automatic,Petrol,1300
Honda Fit Gp1 2012 Car,https://riyasewana.com/buy/honda-fit-gp1-sale-colombo-2809922,3650000,Honda,Fit GP1,2012,78000,Automatic,Hybrid,1400
Honda Fit Gp5 2013 Car,https://riyasewana.com/buy/honda-fit-gp5-sale-colombo-2808949,4375000,Honda,FIT GP5,2013,86200,Automatic,Petrol,1500
Honda Fit Gp5 2014 Car,https://riyasewana.com/buy/honda-fit-gp5-sale-kurunegala-2808375,4475000,Honda,FIT GP5,2014,92000,Automatic,Petrol,1500
Honda Fit Gp5 L Grade 2014 Car,https://riyasewana.com/buy/honda-fit-gp5-sale-kuliyapitiya-2808070,4450000,Honda,FIT GP5 L Grade,2014,92000,Automatic,Hybrid,1500
Honda Fit Gp2 Shuttle 2012 Car,https://riyasewana.com/buy/honda-fit-gp2-sale-gampaha-2805484,1200000,Honda,Fit GP2 Shuttle,2012,117000,Automatic,Hybrid,1300
Honda Fit Gp1 2010 Car,https://riyasewana.com/buy/honda-fit-gp1-sale-kurunegala-2805292,3650000,Honda,Fit Gp1,2010,53000,Automatic,Hybrid,1300
Honda Fit Shuttle Gp2 2013 Car,https://riyasewana.com/buy/honda-fit-shuttle-sale-gampola-2805268,4300000,Honda,Fit Shuttle Gp2,2013,153000,Automatic,Petrol,1300
Honda Fit Shuttle 2015 Car,https://riyasewana.com/buy/honda-fit-shuttle-sale-negombo-2804685,4650000,Honda,Fit Shuttle,2015,93300,Automatic,Hybrid,1330
Honda Fit Aria Gd8 2008 Car,https://riyasewana.com/buy/honda-fit-aria-sale-kandy-2803923,3150000,Honda,Fit Aria GD8,2008,225000,Automatic,Petrol,1500
Honda Fit Gp1 2015 Car,https://riyasewana.com/buy/honda-fit-gp1-sale-kalutara-2803292,3695000,Honda,Fit GP1,2015,73450,Automatic,Hybrid,1330
Honda Fit Gp5 2013 Car,https://riyasewana.com/buy/honda-fit-gp5-sale-colombo-2803234,4375000,Honda,Fit Gp5,2013,78000,Automatic,Hybrid,1500
Honda Fit Gp5 2014 Car,https://riyasewana.com/buy/honda-fit-gp5-sale-kandy-2803126,4575000,Honda,Fit GP5,2014,68000,Automatic,Petrol,1490
Honda Fit Gp5 2013 Car,https://riyasewana.com/buy/honda-fit-gp5-sale-kotte-2801317,4450000,Honda,FIT GP5,2013,51000,Automatic,Hybrid,1500
Honda Fit Gp5 2014 Car,https://riyasewana.com/buy/honda-fit-gp5-sale-galle-2800667,4650000,Honda,Fit Gp5,2014,71000,Automatic,Petrol,1500
Honda Fit Gp5 2013 Car,https://riyasewana.com/buy/honda-fit-gp5-sale-polonnaruwa-2800432,4400000,Honda,Fit Gp5,2013,900000,Automatic,Hybrid,1500
Honda Fit Shuttle Gp7 2016 Car,https://riyasewana.com/buy/honda-fit-shuttle-sale-batticaloa-2800119,5300000,Honda,Fit Shuttle Gp7,2016,87000,Automatic,Hybrid,1500
Honda Fit Gp1 2012 Car,https://riyasewana.com/buy/honda-fit-gp1-sale-kurunegala-2799275,3490000,Honda,Fit Gp1,2012,155000,Automatic,Hybrid,1300
Honda Fit Gp1 2013 Car,https://riyasewana.com/buy/honda-fit-gp1-sale-kurunegala-2797452,3875000,Honda,Fit GP1,2013,48000,Automatic,Hybrid,1330
Honda Fit Gp5 S Grade 2013 Car,https://riyasewana.com/buy/honda-fit-gp5-sale-kurunegala-2797138,4550000,Honda,FIT GP5 S GRADE,2013,104755,Automatic,Hybrid,1500
Honda Fit Shuttle Gp7 2016 Car,https://riyasewana.com/buy/honda-fit-shuttle-sale-chilaw-2796609,5350000,Honda,Fit Shuttle GP7,2016,79000,Automatic,Hybrid,1500
Honda Fit Gp5 2013 Car,https://riyasewana.com/buy/honda-fit-gp5-sale-ja-ela-2796038,4550000,Honda,Fit GP5,2013,51000,Automatic,Petrol,1500
Honda Fit Gp1 2012 Car,https://riyasewana.com/buy/honda-fit-gp1-sale-nittambuwa-2795838,3490000,Honda,Fit Gp1,2012,120000,Automatic,Petrol,1330
